,Temperature,Clouds,Visibility,Humidity,Pressure,WindSpeed,hour_sin,hour_cos,sin_day_of_month,cos_day_of_month,daylight_duration,Weather_encoded,WeatherDescription_encoded
2024-04-02 04:00:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 04:15:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 04:30:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 04:45:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 05:00:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 05:15:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 05:30:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 05:45:00,9.529999999999973,100.0,10000.0,94.0,1008.0,1.02,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 06:00:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 06:15:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 06:30:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 06:45:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 07:00:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 07:15:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 07:30:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 07:45:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 08:00:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 08:15:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 08:30:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 08:45:00,9.399999999999975,100.0,10000.0,90.0,1011.0,1.45,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
2024-04-02 09:00:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 09:15:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 09:30:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 09:45:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 10:00:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 10:15:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 10:30:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 10:45:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 11:00:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 11:15:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 11:30:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 11:45:00,13.800000000000011,91.0,10000.0,74.0,1013.0,0.43,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426009,12.752222222222223,1.0,7.0
2024-04-02 12:00:00,14.970000000000027,75.0,6949.0,69.0,1012.0,3.57,1.2246467991473532e-16,-1.0,0.40673664307580015,0.9135454576426009,12.752222222222223,2.0,4.0
